geography,week_start_date,old_total_cases,new_total_cases,change_type,observed_at_utc,source_file_id,source_publication_date
pr,2019-01-07,,1,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-01-14,,1,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-01-21,,1,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-01-28,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-02-04,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-02-11,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-02-18,,2,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-02-25,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-03-04,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-03-11,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-03-18,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-03-25,,1,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-04-01,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-04-08,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-04-15,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-04-22,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-04-29,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-05-06,,1,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-05-13,,1,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-05-20,,1,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-05-27,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-06-03,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-06-10,,0,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
pr,2019-06-17,,1,new,2026-07-15T04:12:53.929847+00:00,2450f009-9079-4bdb-8799-1600bdd4fce1,2026-06-04T15:56:55.527867Z
